system,key,reglastwritetime,type,name,val
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","dword","Last Counter","0x22d2"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","dword","First Help","0x2225"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","dword","Last Help","0x22d3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","expand_sz","ImagePath","\SystemRoot\System32\drivers\1394ohci.sys"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","dword","Type","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","dword","Start","0x3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","dword","ErrorControl","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","sz","DisplayName","@1394.inf,%PCI\CC_0C0010.DeviceDesc%;1394 OHCI Compliant Host Controller"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","multi_sz","Owners","1394.inf"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\1394ohci","2019-12-07T09:14:25Z","multi_sz","Owners",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","expand_sz","ImagePath","System32\drivers\3ware.sys"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","dword","Type","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","dword","Start","0x0"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","dword","ErrorControl","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","sz","Group","SCSI miniport"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\3ware","2022-08-05T10:11:47Z","dword","Tag","0x1"
