2022-10-11 06:15:07 status unpacked linux-image-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status half-configured linux-image-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status installed linux-image-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 configure linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:07 status unpacked linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status half-configured linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status installed linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 configure linux-cloud-tools-azure:amd64 5.15.0.1021.26~20.04.14 <none>
2022-10-11 06:15:07 status unpacked linux-cloud-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status half-configured linux-cloud-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status installed linux-cloud-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 configure linux-azure:amd64 5.15.0.1021.26~20.04.14 <none>
2022-10-11 06:15:07 status unpacked linux-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status half-configured linux-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status installed linux-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 trigproc linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:07 status half-configured linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:18 status installed linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:20 startup archives unpack
2022-10-11 06:15:20 upgrade linux-tools-common:all 5.4.0-126.142 5.4.0-128.144
2022-10-11 06:15:20 status half-configured linux-tools-common:all 5.4.0-126.142
2022-10-11 06:15:20 status unpacked linux-tools-common:all 5.4.0-126.142
2022-10-11 06:15:20 status half-installed linux-tools-common:all 5.4.0-126.142
2022-10-11 06:15:20 status triggers-pending man-db:amd64 2.9.1-1
2022-10-11 06:15:21 status unpacked linux-tools-common:all 5.4.0-128.144
2022-10-11 06:15:21 startup packages configure
2022-10-11 06:15:21 configure linux-tools-common:all 5.4.0-128.144 <none>
2022-10-11 06:15:21 status unpacked linux-tools-common:all 5.4.0-128.144
2022-10-11 06:15:21 status half-configured linux-tools-common:all 5.4.0-128.144
2022-10-11 06:15:21 status installed linux-tools-common:all 5.4.0-128.144
2022-10-11 06:15:21 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-11 06:15:21 status half-configured man-db:amd64 2.9.1-1
2022-10-11 06:15:22 status installed man-db:amd64 2.9.1-1
2022-10-11 06:15:24 startup archives unpack
2022-10-11 06:15:24 upgrade linux-cloud-tools-common:all 5.4.0-126.142 5.4.0-128.144
2022-10-11 06:15:24 status half-configured linux-cloud-tools-common:all 5.4.0-126.142
2022-10-11 06:15:24 status unpacked linux-cloud-tools-common:all 5.4.0-126.142
2022-10-11 06:15:24 status half-installed linux-cloud-tools-common:all 5.4.0-126.142
2022-10-11 06:15:24 status triggers-pending man-db:amd64 2.9.1-1
2022-10-11 06:15:24 status unpacked linux-cloud-tools-common:all 5.4.0-128.144
2022-10-11 06:15:24 startup packages configure
2022-10-11 06:15:24 configure linux-cloud-tools-common:all 5.4.0-128.144 <none>
2022-10-11 06:15:24 status unpacked linux-cloud-tools-common:all 5.4.0-128.144
2022-10-11 06:15:24 status half-configured linux-cloud-tools-common:all 5.4.0-128.144
2022-10-11 06:15:25 status installed linux-cloud-tools-common:all 5.4.0-128.144
2022-10-11 06:15:25 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-11 06:15:25 status half-configured man-db:amd64 2.9.1-1
2022-10-11 06:15:25 status installed man-db:amd64 2.9.1-1
2022-10-11 06:15:28 startup packages remove
2022-10-11 06:15:28 status installed linux-headers-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:28 remove linux-headers-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1 <none>
2022-10-11 06:15:28 status half-configured linux-headers-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:28 status half-installed linux-headers-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:28 status config-files linux-headers-5.15.0-1020-azure:amd64 5.15.0-1020.25~20.04.1
2022-10-11 06:15:28 status not-installed linux-headers-5.15.0-1020-azure:amd64 <none>
2022-10-11 06:15:28 startup packages configure
2022-10-11 06:15:30 startup packages remove
2022-10-11 06:15:30 status installed linux-azure-5.15-headers-5.15.0-1020:all 5.15.0-1020.25~20.04.1
2022-10-11 06:15:31 remove linux-azure-5.15-headers-5.15.0-1020:all 5.15.0-1020.25~20.04.1 <none>
